               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,             0.03358,            0.025604,           0.0011619,             0.75501,             0.68803,             0.75216,             0.51899,            0.034028,            0.012271,          0.00071563,           0.0093268,           0.0093268,           0.0093268
                  36,            0.033505,            0.025654,             0.00117,             0.75543,             0.69244,             0.75409,             0.52087,            0.033935,             0.01224,          0.00071724,            0.009307,            0.009307,            0.009307
                  37,            0.033323,            0.025386,           0.0011959,             0.75644,             0.69646,             0.75549,             0.52281,            0.033848,            0.012211,          0.00071051,           0.0092872,           0.0092872,           0.0092872
                  38,            0.033254,            0.025402,           0.0011661,             0.75678,             0.69966,             0.75712,             0.52465,            0.033757,            0.012181,          0.00070678,           0.0092674,           0.0092674,           0.0092674
                  39,            0.033188,            0.025332,            0.001133,             0.75619,             0.70204,             0.75881,             0.52638,            0.033671,            0.012154,           0.0007013,           0.0092476,           0.0092476,           0.0092476
                  40,            0.033133,            0.025417,           0.0011579,             0.75691,             0.70401,             0.76059,             0.52798,            0.033595,            0.012135,          0.00069844,           0.0092278,           0.0092278,           0.0092278
                  41,            0.032987,            0.025444,           0.0011226,             0.75546,             0.70766,             0.76228,             0.52969,            0.033519,            0.012117,          0.00069713,            0.009208,            0.009208,            0.009208
                  42,            0.032876,             0.02521,           0.0011214,             0.75147,              0.7106,               0.763,             0.53146,            0.033436,            0.012095,          0.00069938,           0.0091882,           0.0091882,           0.0091882
                  43,            0.032738,            0.025149,           0.0011363,             0.75599,             0.70731,             0.76404,             0.53286,             0.03337,             0.01207,          0.00069995,           0.0091684,           0.0091684,           0.0091684
                  44,            0.032673,            0.025198,           0.0011195,             0.75373,             0.70881,             0.76496,             0.53406,            0.033322,            0.012051,          0.00070287,           0.0091486,           0.0091486,           0.0091486
                  45,            0.032721,            0.025098,           0.0011313,             0.75128,             0.71208,             0.76511,             0.53494,            0.033282,            0.012038,          0.00070562,           0.0091288,           0.0091288,           0.0091288
                  46,            0.032575,            0.024924,           0.0011334,             0.75061,             0.71364,             0.76573,               0.536,            0.033235,            0.012023,           0.0007054,            0.009109,            0.009109,            0.009109
                  47,            0.032361,            0.024862,           0.0011413,             0.75186,              0.7142,             0.76703,             0.53772,            0.033174,            0.012006,          0.00070495,           0.0090892,           0.0090892,           0.0090892
                  48,            0.032299,            0.024918,           0.0011114,             0.75311,             0.71424,             0.76728,             0.53877,            0.033122,            0.011998,          0.00069942,           0.0090694,           0.0090694,           0.0090694
                  49,            0.032145,            0.024846,           0.0011067,             0.75542,             0.71591,             0.76854,             0.54014,            0.033066,            0.011981,          0.00069497,           0.0090496,           0.0090496,           0.0090496
